gender,age,numkids,type,memberyears,avg_yrly_visits,offer_fd_penguin,offer_fd_meercat,offer_fd_flamingo,offer_fd_tiger,offer_fd_gecko,offer_sp_penguin,offer_sp_meercat,offer_sp_flamingo,offer_sp_tiger,offer_sp_gecko,support_calls_last_year,churned
M,18,4,F,4,9.6,N,Y,N,N,N,N,N,N,N,N,2,N
M,45,4,F,1,3,N,N,N,N,N,N,N,N,N,N,2,N
F,22,0,R,4,17.1,N,N,N,N,N,N,N,N,N,N,3,N
M,20,0,R,8,7.9,N,N,N,N,N,N,Y,Y,N,N,0,N
F,18,3,F,4,4.3,Y,N,N,N,N,N,N,N,N,N,1,N
M,49,6,F,5,1.3,Y,Y,N,Y,N,N,N,N,N,N,2,N
M,21,0,R,3,4.6,Y,N,N,N,N,N,Y,N,N,N,2,N
F,21,0,R,5,5.5,N,Y,N,N,N,N,N,N,N,N,2,N
M,41,0,I,2,3.1,N,N,N,N,N,N,N,N,N,N,1,N
F,32,4,F,2,7.5,N,N,N,N,N,N,N,N,N,N,2,N
M,35,5,F,7,1.6,N,Y,N,N,N,N,N,N,N,N,4,N
F,38,3,F,11,3.4,N,Y,N,N,N,N,N,N,N,N,3,N
F,18,0,I,2,2.8,Y,N,N,N,N,N,N,N,N,N,2,N
M,49,2,F,7,1.3,N,N,N,N,N,N,N,N,N,N,2,N
F,43,1,F,1,2,Y,Y,N,N,N,N,N,Y,N,N,0,N
M,38,3,F,1,5,N,N,N,N,N,N,N,N,N,N,1,N
M,34,3,F,4,2.9,Y,N,N,N,N,N,N,N,N,N,0,N
F,34,4,F,4,1.9,Y,Y,N,N,N,N,N,N,N,N,1,N
F,41,1,F,6,2.4,N,N,N,N,N,N,N,N,N,N,4,N
M,35,3,F,6,8,N,Y,N,N,N,N,N,N,N,N,0,N
M,24,5,F,4,3,N,N,N,N,N,N,N,N,N,N,2,N
F,55,1,F,3,8.1,N,N,N,Y,N,N,N,N,N,N,1,N
F,21,1,F,2,12.9,N,N,N,N,N,N,N,N,N,N,2,N
F,25,2,F,3,2.6,N,N,N,N,N,N,N,N,N,N,1,N
M,54,1,F,10,3.3,N,N,N,N,N,N,N,N,N,N,1,N
M,45,4,F,1,5,Y,Y,N,N,N,Y,N,N,N,N,1,N
F,56,4,F,6,5.8,Y,N,N,N,N,Y,N,N,N,N,1,N
M,26,4,F,1,9,N,Y,N,N,N,N,N,N,N,N,0,N
F,27,1,F,1,2,N,N,N,N,N,N,N,N,N,N,0,N
F,27,0,I,1,3,N,N,N,N,N,N,N,N,N,N,1,N
M,19,0,S,3,5.7,N,N,N,N,N,N,N,N,N,N,0,N
M,64,5,F,7,1,Y,Y,N,N,N,N,N,N,Y,N,3,N
