Status,Checking,Duration,History,Purpose,Amount,Savings,Employment,PerCentIncome,PersonalStatus,Debtors,ResidentYears,Property,Age,Plans,Housing,Credits,Job,Liability,Telephone,Foreign
2,lt0,15,NOtoCREDIT,CARtoNEW,950,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,3,CARtoOTHER,33,NONE,RENT,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,12,NOtoCREDIT,CARtoNEW,1082,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,48,BANK,OWN,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,NOtoCREDIT,CARtoUSED,4605,lt100,8,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,24,NONE,FREE,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,24,NOtoCREDIT,FURNITURE,4110,lt100,8,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,23,BANK,RENT,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,18,NOtoCREDIT,FURNITURE,3114,lt100,1,1,FEMALEtoDIVORCEDtoMARRIED,NONE,4,SAVINGStoLIFEtoINSURANCE,26,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,NOtoCREDIT,FURNITURE,7119,lt100,4,3,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,53,NONE,FREE,2,SKILLEDtoEMPLOYEE,2,NONE,YES
2,lt0,12,NOtoCREDIT,HIFI,6199,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,28,NONE,RENT,2,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,12,NOtoCREDIT,REPAIRS,1108,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,3,REALtoESTATE,28,NONE,OWN,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,27,NOtoCREDIT,BUSINESS,5293,lt100,0,2,MALEtoMARRIEDorWIDOWED,NONE,4,SAVINGStoLIFEtoINSURANCE,50,STORES,OWN,2,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,45,NOtoCREDIT,BUSINESS,11816,lt100,8,2,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,29,NONE,RENT,2,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,21,PAIDBACKtoCREDIT,CARtoNEW,1647,UNKNOWN,4,4,MALEtoMARRIEDorWIDOWED,NONE,2,SAVINGStoLIFEtoINSURANCE,40,NONE,OWN,2,UNSKILLEDtoRESIDENT,2,NONE,YES
2,lt0,18,PAIDBACKtoCREDIT,CARtoNEW,1442,lt100,7,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,32,NONE,FREE,2,UNSKILLEDtoRESIDENT,2,NONE,YES
2,lt0,12,PAIDBACKtoCREDIT,CARtoNEW,697,lt100,1,4,MALEtoMARRIEDorWIDOWED,NONE,2,CARtoOTHER,46,BANK,OWN,2,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,24,PAIDBACKtoCREDIT,CARtoNEW,1193,lt100,0,1,FEMALEtoDIVORCEDtoMARRIED,COtoAPPLICANT,4,UNKNOWN,29,NONE,RENT,2,UNSKILLEDtoNONtoRESIDENT,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDIT,CARtoUSED,1358,UNKNOWN,8,4,MALEtoMARRIEDorWIDOWED,NONE,3,CARtoOTHER,40,STORES,OWN,1,MANAGEMENTtoSELFEMPLOYED,1,YES,YES
2,lt0,36,PAIDBACKtoCREDIT,FURNITURE,2746,lt100,8,4,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,31,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDIT,FURNITURE,3552,lt100,7,3,MALEtoMARRIEDorWIDOWED,NONE,4,CARtoOTHER,27,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,18,PAIDBACKtoCREDIT,FURNITURE,1553,lt100,4,4,MALEtoMARRIEDorWIDOWED,NONE,3,CARtoOTHER,44,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDIT,FURNITURE,6872,lt100,1,2,MALEtoDIVORCED,NONE,1,SAVINGStoLIFEtoINSURANCE,55,BANK,OWN,1,SKILLEDtoEMPLOYEE,1,YES,YES
2,lt0,24,PAIDBACKtoCREDIT,FURNITURE,3349,500to1000,1,4,MALEtoMARRIEDorWIDOWED,NONE,4,UNKNOWN,30,NONE,FREE,1,SKILLEDtoEMPLOYEE,2,YES,YES
2,lt0,12,PAIDBACKtoCREDIT,HIFI,2149,lt100,4,4,MALEtoDIVORCED,NONE,1,UNKNOWN,29,NONE,FREE,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,12,PAIDBACKtoCREDIT,HIFI,626,lt100,4,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,REALtoESTATE,24,BANK,OWN,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,24,PAIDBACKtoCREDIT,HIFI,1546,lt100,7,4,MALEtoMARRIEDorWIDOWED,GUARANTOR,4,CARtoOTHER,24,BANK,RENT,1,UNSKILLEDtoRESIDENT,1,NONE,YES
2,lt0,6,PAIDBACKtoCREDIT,EDUCATION,1198,lt100,8,4,FEMALEtoDIVORCEDtoMARRIED,NONE,4,UNKNOWN,35,NONE,FREE,1,SKILLEDtoEMPLOYEE,1,NONE,YES
2,lt0,48,PAIDBACKtoCREDIT,BUSINESS,7685,lt100,7,2,FEMALEtoDIVORCEDtoMARRIED,GUARANTOR,4,CARtoOTHER,37,NONE,RENT,1,SKILLEDtoEMPLOYEE,1,NONE,YES
