id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
1,3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,11,2,5,4,4,5,0,0,0,8,11,0,1
2,0.885807,tcp,ftp,FIN,52,54,2934,3742,118.535982,31,29,25992.11914,33172.01172,11,15,17.362274,16.703793,1752.858374,53.744137,255,1941399795,1942351180,255,0.000634,0.000502,0.000132,56,69,0,0,2,0,3,1,1,3,1,1,0,5,1,0,0
3,0.538781,tcp,http,FIN,10,8,818,1076,31.55271,62,252,10943.22168,13987.13086,2,2,59.864556,66.825141,2986.974699,116.820219,255,2582343031,1124268656,255,0.160292,0.070012,0.09028,82,135,1,136,5,1,3,2,1,5,0,0,1,2,6,0,0
4,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,34,2,27,27,13,34,0,0,0,27,34,0,1
5,0.448734,tcp,ftp,FIN,14,12,1476,822,55.712295,254,252,24442.09766,13442.2627,4,4,33.443462,40.117547,1727.067305,49.433102,255,355976945,3698547216,255,0.060246,0.007433,0.052813,105,69,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
6,1.00716,tcp,smtp,FIN,78,28,82758,2206,104.25355,62,252,648929.6875,16902.97461,36,8,13.08,36.619445,1131.704645,45.544281,255,2872904445,2310028023,255,0.026532,0.010149,0.016383,1061,79,0,0,1,1,1,1,1,1,0,0,0,4,1,0,1
7,3.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,15,2,8,8,8,8,0,0,0,8,14,0,1
8,0.772038,tcp,-,FIN,16,10,2206,556,32.381826,254,252,21439.35938,5191.45459,5,3,48.978933,79.745445,2551.434227,104.207102,255,367404839,1787759590,255,0.087187,0.054295,0.032892,138,56,0,0,6,1,1,1,1,5,0,0,0,1,5,0,0
9,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,1
10,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.716,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
11,0.000977,udp,dns,CON,2,2,132,164,3070.624396,31,29,540429.875,671443.1875,0,0,0.007,0.007,0,0,0,0,0,0,0,0,0,66,82,0,0,4,0,3,2,1,2,0,0,0,14,2,0,0
12,1.688729,tcp,-,FIN,10,12,806,4352,12.435387,62,252,3439.272949,18901.78906,2,3,187.532222,148.314815,11146.59209,10483.87267,255,1756015152,2200433584,255,0.166348,0.057256,0.109092,81,363,0,0,4,1,1,1,1,1,0,0,0,1,2,0,1
13,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,43,2,26,26,17,43,0,0,0,26,43,0,1
14,0.235191,tcp,http,FIN,10,6,1004,268,63.77795,254,252,30749.47656,7619.338867,2,1,26.132333,32.669,1250.212262,62.922285,255,705923423,1589514267,255,0.072062,0.026135,0.045927,100,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,1
15,9.00E-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,27,2,25,25,25,27,0,0,0,26,27,0,1
16,5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,22,2,22,22,22,22,0,0,0,22,22,0,1
17,1.018925,tcp,http,FIN,14,18,1684,10168,30.424223,31,29,12279.60938,75404.96094,3,5,78.35169,59.907118,8766.371467,7676.16891,255,4070117074,1925681483,255,0.00063,0.0005,0.00013,120,565,1,3924,4,0,3,1,1,1,0,0,1,1,3,0,0
18,0.338061,tcp,http,FIN,10,8,844,1492,50.286782,62,252,17984.91992,30905.66406,2,2,37.562333,45.43143,1865.108158,61.417398,255,1236864086,3483318789,255,0.075417,0.019101,0.056316,84,187,1,319,1,1,1,1,1,1,0,0,1,1,1,0,1
19,0.563092,tcp,-,FIN,12,10,1874,844,37.294084,254,252,24408.08984,10797.52539,3,2,50.07391,57.007555,3538.1957,98.956172,255,957893352,3606512341,255,0.103357,0.050014,0.053343,156,84,0,0,11,1,2,2,1,2,0,0,0,2,9,0,1
20,6.00E-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,10,2,4,4,4,4,0,0,0,7,9,0,1
21,0.090912,tcp,ssh,FIN,98,100,14408,17134,2166.930674,31,29,1254927.875,1492696.25,22,32,0.937237,0.929062,137.803646,140.004962,255,496231760,496575880,255,0.0008,0.000658,0.000142,147,171,0,0,1,0,3,1,1,1,0,0,0,3,1,0,0
22,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,35,2,35,35,20,35,0,0,0,35,35,0,1
23,0.850101,tcp,-,FIN,92,164,5696,192828,299.964359,31,29,53028.99219,1803578.625,10,71,9.336912,5.21208,823.968015,652.957358,255,3719477606,1595322875,255,0.000665,0.000528,0.000137,62,1176,0,0,12,0,2,1,1,1,0,0,0,1,10,0,0
24,0,arp,-,INT,1,0,46,0,0,0,0,0,0,0,0,60000.648,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
25,6.00E-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,57,0,0,0,19,2,19,19,9,19,0,0,0,19,19,0,1
26,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,8,2,1,1,1,1,0,0,0,1,8,0,1
27,0.004999,tcp,-,FIN,18,18,4256,2456,7001.400121,31,29,6433286.5,3712742.5,7,7,0.275118,0.262059,13.61299,0.340763,255,3982712641,1836154334,255,0.000674,0.00054,0.000134,236,136,0,0,4,0,6,1,1,2,0,0,0,4,17,0,0
28,2.355873,tcp,-,FIN,16,14,1402,1270,12.309661,254,252,4465.435547,4007.00708,5,4,152.40834,174.583469,8367.849949,264.272844,255,2799636976,828398007,255,0.211771,0.086287,0.125484,88,91,0,0,4,1,1,2,1,1,0,0,0,2,2,0,1
29,1.408428,tcp,-,CON,6,2,998,86,4.97008,62,252,4725.836426,244.243942,2,1,281.6856,0.008,15069.27997,0,255,775936080,3923561117,255,0.972525,0.679172,0.293353,166,43,0,0,2,3,3,2,2,2,0,0,0,2,4,0,0
30,9.00E-06,udp,-,INT,2,0,78,0,111111.1072,254,0,34666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,39,0,0,0,26,2,9,9,1,25,0,0,0,10,25,0,0
31,8.00E-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,42,2,10,10,5,42,0,0,0,10,42,0,1
32,0.001061,udp,dns,CON,2,2,146,178,2827.521083,31,29,550424.125,671065,0,0,0.01,0.002,0,0,0,0,0,0,0,0,0,73,89,0,0,3,0,1,2,1,1,0,0,0,3,3,0,0
33,1.00E-05,udp,-,INT,2,0,1786,0,100000.0025,254,0,714400000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,893,0,0,0,5,2,3,3,1,5,0,0,0,3,5,0,0
34,5.00E-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,57,0,0,0,28,2,23,23,23,28,0,0,0,23,28,0,1
35,8.00E-06,udp,-,INT,2,0,104,0,125000.0003,254,0,52000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,0
